canonical_card_id,card_variant_id,card_name,card_number,set_id,set_name,era,raw_rarity,canonical_treatment,printing_type,special_type,edition,modeled_probability,expected_packs,log_expected_packs,information_bits,calculation_run_id,model_source,model_version,probability_role
7c51f618-da56-4bfe-9197-b349011c045b,9c950cf9-6572-45bf-b811-f35e48c5e529,Phanpy,102,f59f25a2-d3da-4100-a918-901271a99925,Surging Sparks,Scarlet and Violet,Common,common,non-holo,,,0.044398,22.5235370962656,3.1145608556035613,4.493361500926145,78af1da1-2555-4b86-8aa3-8373cca94647,monte_carlo_exact_variant_frequency_v1,exact_variant_pull_frequency_v1,derived pack-presence result
e332a7b8-9b59-4b68-b271-bda95041f6c6,6fc50a45-234b-4b85-b5eb-dbe14066c60e,Bronzor,126,f59f25a2-d3da-4100-a918-901271a99925,Surging Sparks,Scarlet and Violet,Common,common,non-holo,,,0.044523,22.46030141724502,3.111749369400346,4.489305383723239,78af1da1-2555-4b86-8aa3-8373cca94647,monte_carlo_exact_variant_frequency_v1,exact_variant_pull_frequency_v1,derived pack-presence result
4c6d93c5-0c5e-4d95-971f-eff13b316e2b,f5900c67-aef7-44d9-a276-c6eff5980603,Vibrava,105,f59f25a2-d3da-4100-a918-901271a99925,Surging Sparks,Scarlet and Violet,Common,common,non-holo,,,0.044666,22.388393856624727,3.1085426931838542,4.484679127847969,78af1da1-2555-4b86-8aa3-8373cca94647,monte_carlo_exact_variant_frequency_v1,exact_variant_pull_frequency_v1,derived pack-presence result
83c15782-4d87-4e37-9b48-8fab7ff87622,a3f153cc-1a01-4ed0-9d80-2bbdf17d6892,Applin,138,f59f25a2-d3da-4100-a918-901271a99925,Surging Sparks,Scarlet and Violet,Common,common,non-holo,,,0.044886,22.278661498017197,3.103629336863814,4.477590653050926,78af1da1-2555-4b86-8aa3-8373cca94647,monte_carlo_exact_variant_frequency_v1,exact_variant_pull_frequency_v1,derived pack-presence result
6ecbffa8-dbee-45bf-ad0f-51b3618ae547,8f05a010-72df-4cc9-9ddb-7329d91f3b5d,Bouffalant,151,f59f25a2-d3da-4100-a918-901271a99925,Surging Sparks,Scarlet and Violet,Common,common,non-holo,,,0.045091,22.177374642389836,3.09907260892858,4.471016684256084,78af1da1-2555-4b86-8aa3-8373cca94647,monte_carlo_exact_variant_frequency_v1,exact_variant_pull_frequency_v1,derived pack-presence result
92c35930-b1af-459a-9517-8b859b0fb1c2,29e2abd5-53bf-4533-81cf-3866b0f499f5,Bronzong,127,f59f25a2-d3da-4100-a918-901271a99925,Surging Sparks,Scarlet and Violet,Common,common,non-holo,,,0.044729,22.356860202553154,3.107133218147672,4.482645685203012,78af1da1-2555-4b86-8aa3-8373cca94647,monte_carlo_exact_variant_frequency_v1,exact_variant_pull_frequency_v1,derived pack-presence result
1d6d3f6c-8d89-4e0d-949a-cf7f236395c3,0ac64ffa-49d4-4885-8f00-975f1fb9f952,Cetoddle,53,f59f25a2-d3da-4100-a918-901271a99925,Surging Sparks,Scarlet and Violet,Common,common,non-holo,,,0.044619,22.411976960487685,3.1095955017035664,4.486198009478364,78af1da1-2555-4b86-8aa3-8373cca94647,monte_carlo_exact_variant_frequency_v1,exact_variant_pull_frequency_v1,derived pack-presence result
96342f9b-e2b3-4bb7-80ab-347f5b08bb6a,34992bf3-a391-4f23-a6fe-cadc14dc3f5a,Cryogonal,47,f59f25a2-d3da-4100-a918-901271a99925,Surging Sparks,Scarlet and Violet,Common,common,non-holo,,,0.044768,22.337383845604002,3.1062616804990664,4.481388322159421,78af1da1-2555-4b86-8aa3-8373cca94647,monte_carlo_exact_variant_frequency_v1,exact_variant_pull_frequency_v1,derived pack-presence result
4d55a578-a7fd-4791-92c8-7025df2ae66e,c8005e91-e863-4237-820d-5fcbe76c9150,Duraludon,129,f59f25a2-d3da-4100-a918-901271a99925,Surging Sparks,Scarlet and Violet,Common,common,non-holo,,,0.044856,22.293561619404315,3.1042979201607657,4.47855521485786,78af1da1-2555-4b86-8aa3-8373cca94647,monte_carlo_exact_variant_frequency_v1,exact_variant_pull_frequency_v1,derived pack-presence result
945edf9c-da2e-43b2-ad5c-3a29779271c2,51d8963e-8398-40d1-ae7e-01ceca815403,Fuecoco,29,f59f25a2-d3da-4100-a918-901271a99925,Surging Sparks,Scarlet and Violet,Common,common,non-holo,,,0.044716,22.363359871187047,3.1074238995740577,4.4830650498553375,78af1da1-2555-4b86-8aa3-8373cca94647,monte_carlo_exact_variant_frequency_v1,exact_variant_pull_frequency_v1,derived pack-presence result
828c8c45-b61f-4425-ab45-75356fbf10ee,51ca80bb-b492-4e9b-b565-8342ff7b876e,Grapploct,113,f59f25a2-d3da-4100-a918-901271a99925,Surging Sparks,Scarlet and Violet,Common,common,non-holo,,,0.044679,22.381879630251348,3.1082516864102967,4.4842592938188925,78af1da1-2555-4b86-8aa3-8373cca94647,monte_carlo_exact_variant_frequency_v1,exact_variant_pull_frequency_v1,derived pack-presence result
087c0e82-adf3-48db-9856-b71ca1433164,0b194761-026d-423c-aad3-4d2ce8c5c978,Magnemite,58,f59f25a2-d3da-4100-a918-901271a99925,Surging Sparks,Scarlet and Violet,Common,common,non-holo,,,0.044897,22.273203109339153,3.1033843016109257,4.477237141906742,78af1da1-2555-4b86-8aa3-8373cca94647,monte_carlo_exact_variant_frequency_v1,exact_variant_pull_frequency_v1,derived pack-presence result
36343153-968d-4d52-bfa2-6e6b9d9da4a0,602516ab-c1d4-4260-a692-f941cdc13a7b,Mesprit,79,f59f25a2-d3da-4100-a918-901271a99925,Surging Sparks,Scarlet and Violet,Common,common,non-holo,,,0.044187,22.631090592255642,3.1193246508066212,4.50023420464141,78af1da1-2555-4b86-8aa3-8373cca94647,monte_carlo_exact_variant_frequency_v1,exact_variant_pull_frequency_v1,derived pack-presence result
77d51caf-b6e8-420d-990b-bed7c7fbb6f8,412851b1-e8ec-4bda-8cd9-65c77790ec5b,Rellor,13,f59f25a2-d3da-4100-a918-901271a99925,Surging Sparks,Scarlet and Violet,Common,common,non-holo,,,0.04457,22.436616558223022,3.1106942920236724,4.487783228824157,78af1da1-2555-4b86-8aa3-8373cca94647,monte_carlo_exact_variant_frequency_v1,exact_variant_pull_frequency_v1,derived pack-presence result
f493176b-77ac-44c6-ad09-305e8b63c6a9,7ca35e99-b7ae-4bc3-8df4-a64f38205190,Simisear,23,f59f25a2-d3da-4100-a918-901271a99925,Surging Sparks,Scarlet and Violet,Common,common,non-holo,,,0.044485,22.47948746768574,3.1126032252854063,4.490537237374249,78af1da1-2555-4b86-8aa3-8373cca94647,monte_carlo_exact_variant_frequency_v1,exact_variant_pull_frequency_v1,derived pack-presence result
8c1455ae-18e1-49c0-a97a-eb00412b5fa5,dd0bdfc3-ea20-4eac-9b64-f6d6c95928d1,Spheal,43,f59f25a2-d3da-4100-a918-901271a99925,Surging Sparks,Scarlet and Violet,Common,common,non-holo,,,0.044685,22.378874342620566,3.1081174041487816,4.484065565466126,78af1da1-2555-4b86-8aa3-8373cca94647,monte_carlo_exact_variant_frequency_v1,exact_variant_pull_frequency_v1,derived pack-presence result
8f3c2099-9806-4918-b41c-a55eaf318d21,f44aef18-0d78-4c09-8bad-1cd30d9e5c5d,Togepi,70,f59f25a2-d3da-4100-a918-901271a99925,Surging Sparks,Scarlet and Violet,Common,common,non-holo,,,0.044837,22.303008675870373,3.1047215875658964,4.4791664377222284,78af1da1-2555-4b86-8aa3-8373cca94647,monte_carlo_exact_variant_frequency_v1,exact_variant_pull_frequency_v1,derived pack-presence result
a5c6bda6-91de-40fe-b4e2-92f976233984,d7d01f92-b986-4a9c-8081-679424c906d8,Volcarona,25,f59f25a2-d3da-4100-a918-901271a99925,Surging Sparks,Scarlet and Violet,Common,common,non-holo,,,0.044855,22.294058633374206,3.1043202139708903,4.478587378027169,78af1da1-2555-4b86-8aa3-8373cca94647,monte_carlo_exact_variant_frequency_v1,exact_variant_pull_frequency_v1,derived pack-presence result
db482710-793c-4916-a9d2-189fc3b9f38c,c66d6110-b398-436a-b0f5-2fd01633c080,Spewpa,6,f59f25a2-d3da-4100-a918-901271a99925,Surging Sparks,Scarlet and Violet,Common,common,non-holo,,,0.045049,22.198051011121223,3.1000044927324284,4.472361108398581,78af1da1-2555-4b86-8aa3-8373cca94647,monte_carlo_exact_variant_frequency_v1,exact_variant_pull_frequency_v1,derived pack-presence result
46894818-66c1-4c17-a059-0563a1627a85,6ecff66f-da7c-493a-9ade-91911594ec65,Crocalor,30,f59f25a2-d3da-4100-a918-901271a99925,Surging Sparks,Scarlet and Violet,Common,common,non-holo,,,0.044991,22.226667555733368,3.1012928092144842,4.474219756198338,78af1da1-2555-4b86-8aa3-8373cca94647,monte_carlo_exact_variant_frequency_v1,exact_variant_pull_frequency_v1,derived pack-presence result
3e031cd9-4b66-4b0d-93f4-87ffcd8c5e05,eb77789f-a04b-43d2-ad96-b2e3be4b09aa,Wattrel,66,f59f25a2-d3da-4100-a918-901271a99925,Surging Sparks,Scarlet and Violet,Common,common,non-holo,,,0.044457,22.493645545133496,3.113232849105986,4.491445592537825,78af1da1-2555-4b86-8aa3-8373cca94647,monte_carlo_exact_variant_frequency_v1,exact_variant_pull_frequency_v1,derived pack-presence result
bb6c3b62-274f-48be-acd9-b0272b8591b8,813632f5-de82-4381-b0f6-924331371dac,Dedenne,87,f59f25a2-d3da-4100-a918-901271a99925,Surging Sparks,Scarlet and Violet,Common,common,non-holo,,,0.044663,22.38989767816761,3.108609860621106,4.484776029976601,78af1da1-2555-4b86-8aa3-8373cca94647,monte_carlo_exact_variant_frequency_v1,exact_variant_pull_frequency_v1,derived pack-presence result
0c7698e6-18fb-4a62-ae82-06d8a1f60004,84b4b695-6719-441b-a629-cad9837c267a,Glimmet,114,f59f25a2-d3da-4100-a918-901271a99925,Surging Sparks,Scarlet and Violet,Common,common,non-holo,,,0.044308,22.56928771327977,3.116590031327451,4.496288982680092,78af1da1-2555-4b86-8aa3-8373cca94647,monte_carlo_exact_variant_frequency_v1,exact_variant_pull_frequency_v1,derived pack-presence result
c11f3ec8-525d-4ce1-ab5f-fd70090b7bac,652f7c52-a6c3-42c6-a335-c4aa02fb50f8,Exeggcute,2,f59f25a2-d3da-4100-a918-901271a99925,Surging Sparks,Scarlet and Violet,Common,common,non-holo,,,0.044608,22.417503586800574,3.1098420638440785,4.486553723455751,78af1da1-2555-4b86-8aa3-8373cca94647,monte_carlo_exact_variant_frequency_v1,exact_variant_pull_frequency_v1,derived pack-presence result
