set_id,set_name,card_id,card_variant_id,card_name,card_number,rarity,treatment,printing_type,market_price,pack_price,value_in_packs,image_url,human_label,labeler_id,label_confidence,notes
0f7e51e2-5a78-4500-9c9c-f690e934a069,Phantasmal Flames,c155b3a4-c0fa-4abc-8f0c-b4f4ac615f6f,10672867-df6e-43d2-9a91-df01cb89e9d6,Mega Charizard X ex,125/094,special illustration rare,,holo,703.07,11.08,63.5,,,,,
0f7e51e2-5a78-4500-9c9c-f690e934a069,Phantasmal Flames,c155b3a4-c0fa-4abc-8f0c-b4f4ac615f6f,10672867-df6e-43d2-9a91-df01cb89e9d6,Mega Charizard X ex,125/094,special illustration rare,,holo,703.07,11.08,63.5,,,,,
0f7e51e2-5a78-4500-9c9c-f690e934a069,Phantasmal Flames,777bb212-dc79-4a3d-8bb4-0ac912c43ff3,96052c74-6699-4df3-9f86-4bbd92c5a724,Mega Charizard X ex,130/094,mega hyper rare,,holo,275.30,11.08,24.8,,,,,
0f7e51e2-5a78-4500-9c9c-f690e934a069,Phantasmal Flames,777bb212-dc79-4a3d-8bb4-0ac912c43ff3,96052c74-6699-4df3-9f86-4bbd92c5a724,Mega Charizard X ex,130/094,mega hyper rare,,holo,275.30,11.08,24.8,,,,,
0f7e51e2-5a78-4500-9c9c-f690e934a069,Phantasmal Flames,80af65aa-826d-4602-bf6f-5d6a5ff2e8ab,fc544377-14f9-4e27-a25f-023b75a60303,Mega Charizard X ex,109/094,ultra rare,,holo,27.09,11.08,2.4,,,,,
0f7e51e2-5a78-4500-9c9c-f690e934a069,Phantasmal Flames,80af65aa-826d-4602-bf6f-5d6a5ff2e8ab,fc544377-14f9-4e27-a25f-023b75a60303,Mega Charizard X ex,109/094,ultra rare,,holo,27.09,11.08,2.4,,,,,
0f7e51e2-5a78-4500-9c9c-f690e934a069,Phantasmal Flames,0870b954-d97a-41ff-8180-dbac15b977ff,81bb14e8-db6b-41ba-b9ff-37b4468f9ba4,Dawn,129/094,special illustration rare,,holo,21.54,11.08,1.9,,,,,
0f7e51e2-5a78-4500-9c9c-f690e934a069,Phantasmal Flames,0870b954-d97a-41ff-8180-dbac15b977ff,81bb14e8-db6b-41ba-b9ff-37b4468f9ba4,Dawn,129/094,special illustration rare,,holo,21.54,11.08,1.9,,,,,
0f7e51e2-5a78-4500-9c9c-f690e934a069,Phantasmal Flames,4571472f-09be-4deb-8b02-de67be87fafd,7c3e24f9-be0e-4de8-86fc-9fb913792294,Meowth,106/094,illustration rare,,holo,20.89,11.08,1.9,,,,,
0f7e51e2-5a78-4500-9c9c-f690e934a069,Phantasmal Flames,4571472f-09be-4deb-8b02-de67be87fafd,7c3e24f9-be0e-4de8-86fc-9fb913792294,Meowth,106/094,illustration rare,,holo,20.89,11.08,1.9,,,,,
0f7e51e2-5a78-4500-9c9c-f690e934a069,Phantasmal Flames,80c1f799-148f-4af8-8b8d-e4ab1ec05c38,033154d1-b462-4ac3-a1c7-6e89c3e65aa8,Mega Sharpedo ex,127/094,special illustration rare,,holo,19.91,11.08,1.8,,,,,
0f7e51e2-5a78-4500-9c9c-f690e934a069,Phantasmal Flames,80c1f799-148f-4af8-8b8d-e4ab1ec05c38,033154d1-b462-4ac3-a1c7-6e89c3e65aa8,Mega Sharpedo ex,127/094,special illustration rare,,holo,19.91,11.08,1.8,,,,,
0f7e51e2-5a78-4500-9c9c-f690e934a069,Phantasmal Flames,1ad3ee6a-4d08-4ee7-b477-37b713f9f9e7,6a8f11de-0d9e-4e5a-8cd2-6a4fa8202ebe,Rotom ex,126/094,special illustration rare,,holo,19.01,11.08,1.7,,,,,
0f7e51e2-5a78-4500-9c9c-f690e934a069,Phantasmal Flames,1ad3ee6a-4d08-4ee7-b477-37b713f9f9e7,6a8f11de-0d9e-4e5a-8cd2-6a4fa8202ebe,Rotom ex,126/094,special illustration rare,,holo,19.01,11.08,1.7,,,,,
0f7e51e2-5a78-4500-9c9c-f690e934a069,Phantasmal Flames,397ac9df-4da1-41d8-85db-57cb51232347,e2db93bc-f913-40d0-af49-93a4d97da1f1,Mega Lopunny ex,128/094,special illustration rare,,holo,14.70,11.08,1.3,,,,,
0f7e51e2-5a78-4500-9c9c-f690e934a069,Phantasmal Flames,397ac9df-4da1-41d8-85db-57cb51232347,e2db93bc-f913-40d0-af49-93a4d97da1f1,Mega Lopunny ex,128/094,special illustration rare,,holo,14.70,11.08,1.3,,,,,
0f7e51e2-5a78-4500-9c9c-f690e934a069,Phantasmal Flames,ac13377f-347e-43b5-9f88-c52d2d351359,ada2b77d-f37d-478d-bbaa-51af6d6ccfed,Piplup,098/094,illustration rare,,holo,14.34,11.08,1.3,,,,,
0f7e51e2-5a78-4500-9c9c-f690e934a069,Phantasmal Flames,ac13377f-347e-43b5-9f88-c52d2d351359,ada2b77d-f37d-478d-bbaa-51af6d6ccfed,Piplup,098/094,illustration rare,,holo,14.34,11.08,1.3,,,,,
0f7e51e2-5a78-4500-9c9c-f690e934a069,Phantasmal Flames,0dd5b360-904f-4264-b3b0-e4969f0a0cd5,7f9e6ebe-1d3e-4d07-8dff-3b1ff45d88d2,Wigglytuff,105/094,illustration rare,,holo,6.39,11.08,0.6,,,,,
0f7e51e2-5a78-4500-9c9c-f690e934a069,Phantasmal Flames,0dd5b360-904f-4264-b3b0-e4969f0a0cd5,7f9e6ebe-1d3e-4d07-8dff-3b1ff45d88d2,Wigglytuff,105/094,illustration rare,,holo,6.39,11.08,0.6,,,,,
0f7e51e2-5a78-4500-9c9c-f690e934a069,Phantasmal Flames,4f3fa670-7dfd-4e73-8f9b-12eb66676bb1,efa5a795-c408-4074-902e-312c1df161a8,Flygon,101/094,illustration rare,,holo,5.52,11.08,0.5,,,,,
0f7e51e2-5a78-4500-9c9c-f690e934a069,Phantasmal Flames,4f3fa670-7dfd-4e73-8f9b-12eb66676bb1,efa5a795-c408-4074-902e-312c1df161a8,Flygon,101/094,illustration rare,,holo,5.52,11.08,0.5,,,,,
0f7e51e2-5a78-4500-9c9c-f690e934a069,Phantasmal Flames,3e70bf81-6014-4b50-bb56-69af86d205cb,47585bb2-0af8-4e18-b3ee-ff5f463143cf,Dawn,118/094,ultra rare,,holo,5.39,11.08,0.5,,,,,
0f7e51e2-5a78-4500-9c9c-f690e934a069,Phantasmal Flames,3e70bf81-6014-4b50-bb56-69af86d205cb,47585bb2-0af8-4e18-b3ee-ff5f463143cf,Dawn,118/094,ultra rare,,holo,5.39,11.08,0.5,,,,,
0f7e51e2-5a78-4500-9c9c-f690e934a069,Phantasmal Flames,7f59566e-f386-4124-8156-02c0e929bd88,4d416304-c166-4535-ab72-c814b800b3f3,Dewgong,097/094,illustration rare,,holo,4.86,11.08,0.4,,,,,
0f7e51e2-5a78-4500-9c9c-f690e934a069,Phantasmal Flames,7f59566e-f386-4124-8156-02c0e929bd88,4d416304-c166-4535-ab72-c814b800b3f3,Dewgong,097/094,illustration rare,,holo,4.86,11.08,0.4,,,,,
0f7e51e2-5a78-4500-9c9c-f690e934a069,Phantasmal Flames,56fc8c48-ffc9-432f-9664-a25f594d2de1,d1d43925-39d8-4164-89c8-1f2d75d4a984,Mega Charizard X ex,013/094,double rare,,holo,4.86,11.08,0.4,,,,,
0f7e51e2-5a78-4500-9c9c-f690e934a069,Phantasmal Flames,56fc8c48-ffc9-432f-9664-a25f594d2de1,d1d43925-39d8-4164-89c8-1f2d75d4a984,Mega Charizard X ex,013/094,double rare,,holo,4.86,11.08,0.4,,,,,
0f7e51e2-5a78-4500-9c9c-f690e934a069,Phantasmal Flames,ca7326e0-ca33-4ff4-a497-d9eed2a90a46,a32175cb-d239-4137-a8b8-a38377dfe87f,Zacian,100/094,illustration rare,,holo,4.71,11.08,0.4,,,,,
